feature_name,data_type,missing_rate,mean,std,min,max,unique_values
feat_avg_balance,float64,0.0,803.594253860718,9404.16716079117,-41770.62333333334,14387.891886792453,4739
feat_balance_std,float64,0.0,978.0414090904372,531.9247250618647,0.0,3985.6358715554707,4669
feat_min_balance,float64,0.0,-888.2496919181262,9432.442926983964,-45229.3,11147.22,4372
feat_max_balance,float64,0.0,2557.123988183161,9446.124568423362,-40261.22,18534.72,4732
feat_avg_ledger_balance,float64,0.0,828.5290380797433,9404.343453661746,-41747.15843137255,14403.991509433963,4739
feat_total_overdrafts,int64,0.0,3.704579025110783,13.101886757454286,0.0,136.0,96
feat_avg_monthly_overdrafts,float64,0.0,0.10220794010387253,0.34340898957440813,0.0,2.9166666666666665,447
feat_balance_trend,float64,0.0,110.99560429166468,1530.922308965959,-6262.074848484848,6903.332173913044,4528
feat_num_transactions,float64,0.0,9.10930576070901,3.787500816471541,0.0,23.0,24
feat_avg_transaction_amount,float64,0.0,-7.921736437068365,104.44076822850981,-1416.3100000000002,2503.156,4688
feat_transaction_amount_std,float64,0.0,160.82543793129818,237.19849952898352,0.0,5930.800558784623,4612
feat_total_transaction_volume,float64,0.0,-76.26442287402405,852.6688148054978,-8497.86,12515.779999999999,4668
feat_num_debits,float64,0.0,6.9689807976366325,3.178403012629241,0.0,18.0,19
feat_total_debits,float64,0.0,-441.6346993036505,528.6285196654475,-8522.039999999999,0.0,4579
feat_num_credits,float64,0.0,2.140324963072378,1.5838518631054834,0.0,9.0,10
feat_total_credits,float64,0.0,365.3702764296265,678.1516690422342,0.0,13104.05,3931
feat_credit_to_debit_ratio,float64,0.0,2.1425001805252712,8.24810888740258,0.0,237.54545454545453,4008
feat_transactions_per_month,float64,0.0,0.8084094167542261,1.802731432223422,0.0,19.0,637
feat_spending_entertainment,float64,0.0,40.37501793627347,140.3115233628614,0.0,3560.66,2026
feat_spending_fuel,float64,0.0,37.87114792150243,133.70788998621634,0.0,4034.41,1961
feat_spending_grocery,float64,0.0,40.1504600126609,151.92808577548377,0.0,4640.19,1935
feat_spending_healthcare,float64,0.0,41.406011816839,182.48625201252597,0.0,8106.1,1973
feat_spending_restaurant,float64,0.0,42.19235914749947,206.6657094721793,0.0,8269.16,1985
feat_spending_retail,float64,0.0,41.14816627980587,155.6846798462461,0.0,4975.13,2028
feat_spending_travel,float64,0.0,38.48593796159527,158.18468140679184,0.0,7603.5,1948
feat_spending_utilities,float64,0.0,37.67672293732855,119.35499364049818,0.0,2002.66,1957
feat_discretionary_spending,float64,0.0,162.20148132517411,336.47978803572056,0.0,8367.539999999999,3963
feat_essential_spending,float64,0.0,119.23319476682845,269.40752631061207,0.0,8276.8,3588
feat_discretionary_ratio,float64,0.0,0.5524214908343116,0.36606232574846015,0.0,1.0,3527
feat_channel_atm,float64,0.0,0.7518463810930576,0.9068208472464017,0.0,6.0,7
feat_channel_branch,float64,0.0,0.5264823802489976,0.7432582117748655,0.0,6.0,6
feat_channel_mobile,float64,0.0,1.7440388267566997,1.4283595026818727,0.0,8.0,9
feat_channel_online,float64,0.0,1.8083983962861363,1.4346629780768196,0.0,8.0,9
feat_channel_phone,float64,0.0,0.2511078286558346,0.520816501038751,0.0,3.0,4
feat_digital_channel_pct,float64,0.0,0.680803379874914,0.2649621080504205,0.0,1.0,50
feat_num_txn_3mo,float64,0.0,1.75311247098544,2.5981428893380456,0.0,19.0,20
feat_avg_balance_3mo,float64,0.0,905.3616406414857,9629.461034075612,-44619.10666666667,18456.89,4717
feat_num_txn_6mo,float64,0.0,2.932264190757544,3.2229409579075448,0.0,20.0,21
feat_avg_balance_6mo,float64,0.0,894.3566248857002,9595.594144743749,-43944.20333333333,18142.09833333333,4734
feat_num_txn_12mo,float64,0.0,4.700358725469508,3.708810923982841,0.0,20.0,21
feat_avg_balance_12mo,float64,0.0,875.8854094899497,9548.355459547842,-43577.405,17454.045833333334,4739
feat_txn_trend,float64,0.0,0.1681687522580465,0.6214466302792183,-0.7777777777777778,2.4782608695652173,114
feat_balance_trend_3mo_vs_12mo,float64,0.0,-0.020416092971809886,4.565882230977002,-228.08945686901012,63.7088020176544,4528
feat_days_since_last_txn,float64,0.0,118.89681367377084,177.3687533377632,1.0,1661.0,570
