feature_name,data_type,missing_rate,mean,std,min,max,unique_values
feat_avg_balance,float64,0.0,797.7968037794924,9422.668822767417,-42535.92275862069,14387.891886792453,5000
feat_balance_std,float64,0.0,977.6275133713972,532.2030455607631,0.0,3985.6358715554707,4921
feat_min_balance,float64,0.0,-894.0638720000001,9443.087756913023,-45828.2,11147.22,4608
feat_max_balance,float64,0.0,2549.810912,9470.487440330719,-40261.22,18534.72,4993
feat_avg_ledger_balance,float64,0.0,822.7057603832734,9422.858075665266,-42511.22827586207,14403.991509433963,5000
feat_total_overdrafts,int64,0.0,3.7512,13.2099886192182,0.0,136.0,97
feat_avg_monthly_overdrafts,float64,0.0,0.1036748958133443,0.3466755092441756,0.0,2.9166666666666665,476
feat_balance_trend,float64,0.0,114.19657022890179,1528.277484747435,-6262.074848484848,6903.332173913044,4773
feat_num_transactions,float64,0.0,9.1168,3.777990524403218,0.0,23.0,24
feat_avg_transaction_amount,float64,0.0,-8.106165444130953,102.8510413112302,-1416.3100000000002,2503.156,4947
feat_transaction_amount_std,float64,0.0,159.2615476033582,232.708806339567,0.0,5930.800558784623,4868
feat_total_transaction_volume,float64,0.0,-78.390258,840.9964863115852,-8497.86,12515.779999999999,4924
feat_num_debits,float64,0.0,6.9704,3.1714879011437764,0.0,18.0,19
feat_total_debits,float64,0.0,-440.20845600000007,523.5403802284615,-8522.039999999999,0.0,4827
feat_num_credits,float64,0.0,2.1464,1.5882920305519497,0.0,11.0,11
feat_total_credits,float64,0.0,361.81819800000005,666.6092503994461,0.0,13104.05,4145
feat_credit_to_debit_ratio,float64,0.0,2.1375654472137344,8.120900637378856,0.0,237.54545454545453,4231
feat_transactions_per_month,float64,0.0,0.8170787584871845,1.814966601181819,0.0,19.0,641
feat_spending_entertainment,float64,0.0,40.361576,138.67829776461195,0.0,3560.66,2127
feat_spending_fuel,float64,0.0,37.26493,131.78993321712653,0.0,4034.41,2050
feat_spending_grocery,float64,0.0,40.273317999999996,150.09014010534943,0.0,4640.19,2037
feat_spending_healthcare,float64,0.0,41.939374,181.9372075536057,0.0,8106.1,2065
feat_spending_restaurant,float64,0.0,42.131512,204.21774134469496,0.0,8269.16,2068
feat_spending_retail,float64,0.0,40.627028,152.64952031440285,0.0,4975.13,2119
feat_spending_travel,float64,0.0,38.113952000000005,155.27635360111609,0.0,7603.5,2042
feat_spending_utilities,float64,0.0,38.060678,121.04529851463923,0.0,2002.66,2059
feat_discretionary_spending,float64,0.0,161.234068,331.4633104710805,0.0,8367.539999999999,4172
feat_essential_spending,float64,0.0,120.27337,268.8332970577597,0.0,8276.8,3775
feat_discretionary_ratio,float64,0.0,0.5498554239582991,0.36598819572269725,0.0,1.0,3724
feat_channel_atm,float64,0.0,0.752,0.9041346646923628,0.0,6.0,7
feat_channel_branch,float64,0.0,0.5242,0.7418385436771053,0.0,6.0,6
feat_channel_mobile,float64,0.0,1.7506,1.4368063622160687,0.0,9.0,10
feat_channel_online,float64,0.0,1.8064,1.431407987180838,0.0,8.0,9
feat_channel_phone,float64,0.0,0.2542,0.526153710949128,0.0,4.0,5
feat_digital_channel_pct,float64,0.0,0.6804511416361416,0.2644098696039727,0.0,1.0,50
feat_num_txn_3mo,float64,0.0,1.76,2.6127696632238275,0.0,19.0,20
feat_avg_balance_3mo,float64,0.0,902.915743,9647.404692970438,-45539.619999999995,18456.89,4977
feat_num_txn_6mo,float64,0.0,2.9416,3.2357817442929364,0.0,20.0,21
feat_avg_balance_6mo,float64,0.0,890.5445859666668,9613.42772096488,-45244.09333333333,18142.09833333333,4995
feat_num_txn_12mo,float64,0.0,4.708,3.7240179459734613,0.0,20.0,21
feat_avg_balance_12mo,float64,0.0,873.1621124231601,9567.38906605385,-45094.63916666667,17454.045833333334,5000
feat_txn_trend,float64,0.0,0.16883031812132768,0.6247854056746502,-0.7777777777777778,2.4782608695652173,114
feat_balance_trend_3mo_vs_12mo,float64,0.0,-0.01758999329371934,4.46700534495189,-228.08945686901012,63.7088020176544,4773
feat_days_since_last_txn,float64,0.0,119.372,176.9323786911987,1.0,1661.0,582
